"year","catch","abundance"
1905,1,-999
1906,54,-999
1907,45,-999
1908,82,-999
1909,53,-999
1910,90,-999
1911,165,-999
1912,155,-999
1913,41,-999
1914,153,-999
1915,25,-999
1916,27,-999
1917,44,-999
1918,39,-999
1919,43,-999
1920,38,-999
1921,-999,-999
1922,18,-999
1923,54,-999
1924,54,-999
1925,181,-999
1926,251,-999
1927,169,-999
1928,339,-999
1929,275,-999
1930,79,-999
1931,-999,-999
1932,25,-999
1933,10,-999
1934,15,-999
1935,72,-999
1936,16,-999
1937,24,-999
1938,5,-999
1939,-999,-999
1940,2,-999
1941,3,-999
1942,1,-999
1943,-999,-999
1944,-999,-999
1945,-999,-999
1946,-999,-999
1947,-999,-999
1948,-999,-999
1949,2,-999
1950,3,-999
1951,8,-999
1952,14,-999
1953,7,-999
1954,15,-999
1955,12,-999
1956,17,-999
1957,16,-999
1958,30,-999
1959,29,-999
1960,9,-999
1961,15,-999
1962,40,-999
1963,259,-999
1964,132,-999
1965,108,-999
1966,15,-999
1967,29,-999
1968,12,-999
1969,15,-999
1970,4,-999
1971,-999,-999
1972,-999,-999
1973,-999,-999
1974,-999,-999
1975,-999,-999
1976,-999,-999
1977,-999,-999
1978,-999,-999
1979,-999,-999
1980,-999,-999
1981,-999,-999
1982,-999,-999
1983,-999,-999
1984,-999,-999
1985,-999,-999
1986,-999,-999
1987,-999,-999
1988,-999,-999
1989,-999,742
1990,-999,588
1991,-999,641
1992,-999,1050
1993,-999,980
1994,-999,1361
1995,-999,1335
1996,-999,1502
1997,-999,1224
1998,-999,1422
1999,-999,1260
2000,-999,1072
2001,-999,1158
2002,-999,1343
2003,-999,1224
2004,-999,1391
2005,-999,1522
2006,-999,1619
2007,5,1327
2008,-999,1397
2009,2,1490
2010,3,1358
2011,-999,1391
2012,-999,1426
2013,-999,1375
2014,-999,2123
2015,1,2173
2016,5,1860
2017,4,2088
2018,3,1898
2019,1,-999
2020,1,-999
