"year","abundance","catch","sigma"
1900,1035.5801442021,5,0.1
1901,985.790115445738,7.58620689655172,0.1
1902,1061.50167388191,10.1724137931034,0.1
1903,1150.81910503057,12.7586206896552,0.1
1904,961.140636160436,15.3448275862069,0.1
1905,1290.43501386628,17.9310344827586,0.1
1906,1250.21522631249,20.5172413793103,0.1
1907,985.720997253919,23.1034482758621,0.1
1908,952.434901914562,25.6896551724138,0.1
1909,831.516038891964,28.2758620689655,0.1
1910,825.85772784274,30.8620689655172,0.1
1911,880.548187857222,33.448275862069,0.1
1912,767.920544566712,36.0344827586207,0.1
1913,707.160546050277,38.6206896551724,0.1
1914,712.75820794415,41.2068965517241,0.1
1915,785.846898917444,43.7931034482759,0.1
1916,837.773620282806,46.3793103448276,0.1
1917,767.786426458812,48.9655172413793,0.1
1918,653.860349792963,51.551724137931,0.1
1919,878.373175691084,54.1379310344828,0.1
1920,668.051640606423,56.7241379310345,0.1
1921,786.506171227748,59.3103448275862,0.1
1922,596.215183539817,61.8965517241379,0.1
1923,606.330220697768,64.4827586206897,0.1
1924,500.262641412892,67.0689655172414,0.1
1925,435.88819935393,69.6551724137931,0.1
1926,393.739660911214,72.2413793103448,0.1
1927,449.645460563007,74.8275862068966,0.1
1928,332.609329185596,77.4137931034483,0.1
1929,249.693085571055,80,0.1
